-1,"Clean, Simple, Cheap, very good"
2,"the accommodation was good"
2,"Very special!"
2,"Amazing place!"
2,"Awesome breakfast."
-1,"  Excelent showers"
2,"Not worth the money!"
1,"was the jumpoff"
1,"Oh Yea Downtown."
2,"Nice Job."
1,"would stay there again"
2,"Best Hostel Ever!"
1,"Hard to find."
1,"."
-1,"too too small, sometimes very smelly"
1,"NEED TO RENOVATE."
1,"A BIT OLD."
-1,"Way too expensive for what you get."
1,"was overpriced for the quality of the rooms"
2,"Good location."
-1," Decent enough."
1,"this hostel sucks"
2,"Wonderful Location!"
-1,"Decent little hostel."
2,"Good staff, great location."
-1,"No lockers in my room."
1,"Do you pay the cleaning lady?"
-1,"A few too many mozzies !"
2,"it was good!"
1,"i canceled this booking"
1,"Not bad"
1,"the bathrooms in the rooms could be cleaner...."
2,"This hostel is awesome!"
2,"We enjoyed it very much :)"
2,"Great place."
1,"I will be back."
2,"Good food, fun staff."
2,"great place and location ringht near the centre"
2,"Really good hostel,"
-1,"with no age restirction...."
2,"Pretty cool place to stay."
1,"a bit loud at night"
1,"its to be expected."
-1,"Very bad... The boss isn\'t cool, no fun, a little dirty..."
-1,"SMALL rooms, NO character, No friendly staff"
2,"The rooms are incredibly small, noisy, claustrophobic and not very clean."
1,"Fire yourself and put the bearded man in charge!"
2,"Very good!!!"
-1,"I would recommend people stay in there!!"
2,"Excellent stay."
1,"."
2,"Thoroughly enjoyed!"
1,"Not a place to meet people."
1,"Bathroom"
1,"Not for travelling alone"
-1,"Excellent, couldn't have asked for a better setting."
2,"Worth the money paid, considering it is Amsterdam."
1,"we stayed 2 night in a double room, nice, silent and clean :)"
-1,"would definately stay here again.great location and friendly staff"
2,"Very well located, undergoing renovation, so the rooms are quite new."
3,"Great location, good value breakfast really good"
2,"Staff was great :)"
2,"nothing else was that amazing"
2,"extremely friendly, warm, welcoming, and FUN hostel."
2,"Highly recommended."
1,"hostel was awesome!"
1,"would defintely stay here again."
2,"Very nice Hostel!"
2,"very friendly and helpful staff, can't wait to come back!"
1,"best hostel I stayed at during my 3 week journey"
3,"I enjoyed my stay and had a good rest as well."
1,"Would stay here again for next trip."
2,"clean !"
-1,"location instruction poorly written."
1,"it was ok"
1,"very far from the city center"
-1,"I LOVE THIS PLACE."
-1,"It is the only option to stay at in Amsterdam."
1,"Don't stay in the 22 person room."
-1,"It's almost impossible to sleep."
-1,"too small!!!!"
-1,"too moisty"
1,"its a boat..."
-1,"avoid the 22 person dorm- smelly, noisy, no sleep!"
-1,"This place kicks ass you wont find any place better!!!"
1,"AMSTERDAM ROCKS!!!"
1,"Many thank's for friendly hospitality"
2,"Definitely would recommend this place to friends going to Amsterdam!"
-1,"Excellent place, beds in some rooms are too small"
2,"It was great!"
1,"why did you open the window??"
2,"awesome place, lots of fun"
2,"hey it was great"
-1,"no more coments..."
2,"Amazing!!"
1,"Its for some people, not for others..."
1,"More of a hotel than a hostel..."
1,"Nice thing to sleep on a boat in Amsterdam!"
