year,text
2012-06-12, Clean, Simple, Cheap, very good
2012-06-17, the accommodation was good
2011-09-07, Very special!
2013-04-27, Amazing place!
2013-03-16, Awesome breakfast. \r \r Excelent showers
2012-08-21, Not worth the money!
2010-08-06, was the jumpoff
2012-08-31, Oh Yea Downtown. Nice Job.
2011-04-16, would stay there again
2011-03-25, Best Hostel Ever!
2005-07-20, Hard to find..
2009-08-12, too too small, sometimes very smelly
2012-09-22, NEED TO RENOVATE. A BIT OLD.
2010-05-19, Way too expensive for what you get.
2004-05-25, was overpriced for the quality of the rooms
2005-06-05, Good location.\r Decent enough.
2011-05-23, this hostel sucks
2009-07-18, Wonderful Location!
2010-01-11, Decent little hostel.
2010-09-02, Good staff, great location.
2013-09-13, No lockers in my room.
2010-07-09, Do you pay the cleaning lady?
2013-10-09, A few too many mozzies !
2009-06-01, it was good!
2007-07-18, i canceled this booking
2010-07-05, Not bad but the bathrooms in the rooms could be cleaner....
2012-11-15, This hostel is awesome! We enjoyed it very much :)
2006-09-22, Great place. I will be back. Good food, fun staff.
2004-07-30, great place and location ringht near the centre
2004-07-28, Really good hostel, but with no age restirction....
2007-08-30, Pretty cool place to stay. a bit loud at night but its to be expected.
2007-05-20, Very bad... The boss isn\'t cool, no fun, a little dirty...
2011-09-08, SMALL rooms, NO character, No friendly staff
2010-07-17, The rooms are incredibly small, noisy, claustrophobic and not very clean.
2009-03-06, Fire yourself and put the bearded man in charge!
2009-05-02, Very good!!! I would recommend people stay in there!!
2012-04-07, Excellent stay.. Thoroughly enjoyed!
2013-09-12, Not a place to meet people. Bathroom
2008-07-16, Not for travelling alone
2008-11-16, Excellent, couldn't have asked for a better setting.
2013-09-01, Worth the money paid, considering it is Amsterdam.
2013-04-12, we stayed 2 night in a double room,\r nice, silent and clean :)
2008-10-21, would definately stay here again.great location and friendly staff
2008-11-09, Very well located, undergoing renovation, so the rooms are quite new.
2004-07-06, Great location, good value breakfast really good
2012-07-24, Staff was great :) but nothing else was that amazing
2010-08-05, extremely friendly, warm, welcoming, and FUN hostel. Highly recommended.
2009-01-20, hostel was awesome! would defintely stay here again.
2008-10-29, Very nice Hostel!
2010-05-23, very friendly and helpful staff, can't wait to come back!
2004-08-08, best hostel I stayed at during my 3 week journey
2013-01-09, I enjoyed my stay and had a good rest as well.
2013-04-28, Would stay here again for next trip.
2013-03-29, clean ! location instruction poorly written.
2010-09-16, it was ok but very far from the city center
2009-08-28, I LOVE THIS PLACE. It is the only option to stay at in Amsterdam.
2008-01-26, Don't stay in the 22 person room. It's almost impossible to sleep.
2008-04-26, too small!!!! too moisty but its a boat...
2008-01-26, avoid the 22 person dorm- smelly, noisy, no sleep!
2005-05-14, This place kicks ass you wont find any place better!!!AMSTERDAM ROCKS!!!
2012-05-18, Many thank's for friendly hospitality
2004-12-26, Definitely would recommend this place to friends going to Amsterdam!
2014-06-20, Excellent place, beds in some rooms are too small
2004-08-29, It was great!
2004-08-23, why did you open the window??
2004-06-08, awesome place, lots of fun
2004-06-07, hey it was great
2004-06-04, no more coments...
2004-06-04, Amazing!!
2004-06-03, Its for some people, not for others...
2009-05-01, More of a hotel than a hostel...
2009-06-02, Nice thing to sleep on a boat in Amsterdam!
2014-06-17, One of the best hostels in Amsterdam!
2009-05-23, very extraordinary experience :)
2009-05-21, Very nice localisation, cosy rooms, good breakfast and nice experience
2014-06-09, Well located, but so warm in warm weather!
2009-05-16, rooms are little bit small but fun!
2014-02-16, Unreliable check in time..
2006-12-26, Great location (near Museumplein), very friendly and helpful staff.
2011-04-30, Paradise place, nice people and great staff for a very cheap price!
2014-06-17, The garden is still just perfect!
2014-06-14, Good choice to stay in Amsterdam
2007-07-21, the hostel is very dirty. \r \r \r You can't drink alcohol inside.
2011-04-30, Great kooky little place! Very clean & great staff!
2012-10-06, Was very happy with this hostel.would stay again.
2007-07-23, great location...near red light district and transportation
2006-05-29, They should change the taxi cab company the refer the customers to.
2011-10-15, very lovely room with a great view, would definitely go back!
2005-11-24, Kitchen facities are great! A bar and a bit of music would be great.\r \r Really enjoyed my stay. Thanks.
